,Species,RMS,SpectralFlux,Entropy,Flatness,SpectCentroid,Contrast1,Contrast2,Contrast3,Contrast4
0,Alopochen_aegyptiaca,1.7020150935840423,-0.744378407796224,9.375543878358746,-5.547106424967448,7.838101827751355,3.23290177967845,2.544976134809375,2.699251341571573,4.22165518158988
1,Amaurornis_flavirostra,1.216455740075471,-0.7104346007108688,11.629309274768866,-6.5628111362457275,7.697030533771541,3.400950864637367,2.8151673199640905,2.7605180341119437,4.255911308415022
2,Arenaria_interpres,1.5424420715540341,-0.2742617018520832,10.662070940594194,-5.347493410110474,8.024420131740088,2.8616290793030776,2.6274542985724416,2.960864580759932,4.206558996365809
3,Butorides_striata,1.5243652401529555,-0.49680450558662415,11.912169502845869,-4.474142789840698,7.92661386322568,3.379887383456918,2.2553886998215478,2.5122325391751628,4.14854815230949
4,Calidris_minuta,1.2985994178732003,-0.3697756032148997,12.224161252164892,-5.812546094258626,8.465174240388533,2.6778317346826666,2.2014865604703164,2.839402816276348,4.169391876219112
5,Chrysococcyx_caprius,0.9626234068040682,-0.6630574584007263,9.225500647335029,-6.050681686401367,8.016676325026936,2.5146132768173364,2.600209924268136,2.7682772040986263,4.237694816030956
6,Circus_aeruginosus,1.8405781010320084,-0.39701657742261887,9.695720016553658,-4.955585360527039,8.115200946531562,3.106382038390877,2.2974600280027717,2.8840774933687787,4.182151972664044
7,Crex_crex,1.3915708105883031,-0.9600831965605418,10.212687234964504,-5.02419638633728,8.109645012100257,3.151233990386185,2.592718898099401,2.6196239216686226,4.202142809374141
8,Cuculus_canorus,1.7717989359858048,-1.1410316427548726,5.013445554496685,-6.674521207809448,7.126775646224548,3.264120671709922,2.890224964433459,2.7882997760036488,4.12682557138763
9,Falco_sparverius,1.08275603157922,-0.6842553615570068,10.352241842185686,-5.054309209187825,8.230396767900805,2.957564326709812,2.3100985557152547,3.215049805029258,4.222572624502699
10,Falco_vespertinus,1.4304807472964736,-0.4175504818558693,10.320525135043225,-3.6891928911209106,8.425839569162054,3.183737211603897,2.388099630163715,2.7877283428486512,4.104722666343863
11,Gallinago_gallinago,2.1949087344065745,-0.26314450055360794,12.61669711353986,-5.107595205307007,7.908244842299364,2.971884772139424,2.82253362151927,2.747567645766145,4.223176268036589
12,Halcyon_smyrnensis,0.9948877210570196,-0.614549309015274,9.352924570485854,-5.90532382329305,8.132077581131588,3.0174740364018713,2.3361327941076873,2.569258385488723,4.210408411114318
13,Lagopus_lagopus,1.4155623908427981,-0.5674050748348236,10.819610445889932,-6.523308753967285,7.815883442921328,2.6943892874789723,3.29715012575598,2.533261384577687,4.275289293523731
14,Limnodromus_scolopaceus,1.8994231836054427,-0.29382457832495373,8.729839948941716,-4.800499439239502,8.10900800793229,2.778744899768854,2.526302365600462,2.7916345261275666,4.158285590488909
15,Melierax_gabar,1.5023079267459993,-0.5406254380941391,9.069164948161761,-5.521984497706096,8.11112986680003,3.002043783240987,2.690195326312148,2.4800866847811784,4.1933399195785315
16,Numenius_phaeopus,1.0307048659490885,-0.4932616502046585,11.303164969683268,-8.589454650878906,7.646927704910338,2.6362524323350947,2.5966276234398773,3.372173065008018,4.2095344995560176
17,Dendrocopos_minor,1.2525629510009344,-0.5429734687010447,10.147839114738746,-5.466932773590088,8.365029500440663,3.1650685714294475,2.5304847640314896,2.657520875914254,4.13762424537951
18,Picus_canus,1.2875722559100526,-0.9671916484832763,9.726456929274285,-7.716214179992676,7.673746263833242,3.1222827197154395,2.523936780560784,3.083979637791834,4.2756835678950385
19,Pluvialis_apricaria,0.9403383004681055,-1.699535757303238,8.782384002964797,-7.890948295593262,7.83565005100499,2.841292010390461,2.232749630840072,2.994225825027306,4.299337927216839
20,Pluvianus_aegyptius,1.4866916392790404,-0.6101308465003967,11.62340172982218,-5.837174415588379,8.066513579986156,2.4639988052470305,3.094669877895422,2.83883959635391,4.164542119142755
21,Pterocles_exustus,1.501286736409527,-0.6485341936349869,9.32423182802414,-6.106898784637451,7.7205070138034015,3.270763600056906,2.513007056459159,2.722071927303948,4.220325194302294
22,Sterna_albifrons,2.2066366511110234,-0.4937229573726654,7.4915201870872705,-3.0025753498077394,8.476245455545243,2.5880002665227533,2.960832297356967,2.630857068523162,4.008749621754174
23,Sterna_sandvicensis,1.1901551029480284,-0.568666140238444,8.330860240339318,-5.7261810302734375,8.021665836034938,2.9463636130717323,2.6367418364514537,2.9107515682327154,4.1941431505603886
24,Struthio_camelus,0.8898691317082937,-2.09394762913386,5.392861915230139,-7.834585507710774,5.598984818094967,3.0945998932465066,2.621177899967007,2.5598824496541965,4.0436733193139265
25,Tringa_glareola,0.9254183645636563,-0.4733690321445465,10.97607064715668,-7.008275747299194,7.943879950653508,2.917091698000987,2.936040364586113,2.5614248034436384,4.271027006166279
26,Apus_apus,0.9988635854782828,-1.0628107190132141,10.518681487700759,-6.727934551239014,8.334101910248231,3.1035308363868817,2.208284445774102,2.495300804425603,4.171548476686941
27,Aquila_clanga,1.7878676350075045,-0.5446530481179556,6.992515360553643,-7.030836184819539,8.032946125139327,2.478788215344285,2.5545709964694847,3.037861940849552,4.220512054207014
28,Aquila_heliaca,0.7502380623278739,-2.1496641397476197,8.635941348323492,-4.149293899536133,7.046889034769106,3.483091381317623,2.1812986544808384,2.656855749950991,4.144093613080221
29,Bonasa_bonasia,0.8811592139131711,-1.2120354970296223,9.88688359374096,-4.72067387898763,8.822306957607898,2.948248925407389,2.446917910071821,2.5902334836166845,4.1068197552883134
