,Species,RMS,SpectralFlux,Entropy,Flatness,SpectCentroid,Contrast1,Contrast2,Contrast3,Contrast4
0,Alauda_razae,1.7417466799193737,-0.21824073046445847,8.01752962630395,-4.90081262588501,8.298818708273815,2.456318752773419,2.442919604153341,2.6171680752752877,4.136669939254272
1,Certhia_familiaris,1.1411007808164484,-0.6892325133085251,7.313775496274934,-5.33635151386261,8.82444888429055,2.7382953990821965,2.0654528947145088,2.3096653526596365,4.0638054626328
2,Dendroica_striata,1.876738609609827,-0.13823854364454746,7.590054405505318,-4.774055242538452,8.683001567716783,2.359359145902622,2.363809253641463,2.5055575859395587,3.9934108650972764
3,Emberiza_bruniceps,1.556097645388416,-0.43936608731746674,7.9643327290396835,-4.348915696144104,8.61531544844501,2.275660619081526,2.112308518561213,2.8095252312910146,4.031963293825738
4,Emberiza_striolata,1.002835443114754,-0.6401962041854858,8.030893366401282,-3.469233433405558,8.290091709727541,2.18738552359792,2.1354526275258876,3.2003378014782036,3.9941873071844456
5,Emberiza_tahapisi,0.6922851690565158,-0.7373946011066437,10.262689479854316,-6.513271808624268,8.353949081429507,2.516730305502085,2.8764901793060096,3.2906422902265984,4.209684212356633
6,Eremophila_bilopha,1.215855261756145,-0.33868231624364853,8.281481513880255,-6.197633743286133,8.551652863463982,2.3175682327164155,2.155644005622908,2.552996535436515,4.10503610120211
7,Estrilda_melpoda,1.5265082528951155,-0.2628734807173411,9.594482492948012,-5.978957335154216,8.550802252147095,2.7169318834012692,2.1521383728439054,2.7714760150926048,4.154938605031905
8,Ficedula_parva,1.1600825221677626,-0.46556757887204486,8.361168710302485,-4.2722086906433105,8.479269908583426,2.4268068836140757,2.634515654118876,2.839938256672225,4.077794653202148
9,Hippolais_polyglotta,1.1851361207090318,-0.5361326734224955,10.692862051001645,-4.008496840794881,8.307199164894682,2.9068238251596816,2.941232372427002,2.4718479585154296,4.106762344290619
10,Lanius_isabellinus,1.6462762873526333,-0.44827304283777875,8.523803428981688,-4.831717809041341,8.306214959519991,2.7489147286020703,2.337393991671408,2.9229778018590404,4.076489883321899
11,Lanius_nubicus,0.9072711617636665,-0.8420493900775909,8.336739603484434,-5.811642646789551,8.066535156069094,2.3526537720213674,2.1536222288941302,2.9776701096964873,4.151855301449024
12,Montifringilla_nivalis,1.7211163668716762,-0.2755200266838074,9.069698151592464,-3.7896129488945007,8.43064672353842,2.876996988589471,2.1328191555902425,3.0965548133859215,4.065948304070973
13,Motacilla_cinerea,1.5479136871144525,-0.26651803652445477,9.39718325415812,-6.665931224822998,8.629091459605215,2.8031642499320455,2.4008617711296396,2.9933542334829313,4.133954872150359
14,Oenanthe_hispanica,0.8266166511814212,-1.0629495282967885,9.706394838974163,-4.234042088190715,8.392969183887594,2.879371948364008,2.170801287490367,2.82420934317167,4.14042217222021
15,Oenanthe_leucura,0.9711845522316449,-0.9489810466766357,8.86064278540488,-4.207725286483765,8.122279934011507,3.249944095788908,2.382037633624699,2.8071298631993855,4.117192086270446
16,Phylloscopus_neglectus,2.012218671265231,-0.19994163140654564,8.722440238297843,-4.6917724609375,8.447139028226685,2.174043706463081,2.865117478583106,2.8303319377280483,4.0725060961080715
17,Phylloscopus_collybita,0.9286215167433078,-0.7705656886100769,6.506486267159569,-7.333961009979248,8.329858288790037,2.198985965983637,2.06598576697783,2.6612432112374442,4.186371543866308
18,Pinicola_enucleator,0.9807949910032633,-0.45382608771324157,7.597439482199635,-6.9871241569519045,8.099130333135722,2.4448966345584906,2.099037253278999,3.311689775448648,4.2022154510503515
19,Prunella_collaris,1.415090355497888,-0.5466482490301132,10.116593253008832,-4.3671146631240845,8.468363274910551,3.050151659226895,2.1524434753819492,2.5693902458375133,4.076667898628963
20,Hirundo_rupestris,1.2190429945694343,-0.5481073409318924,8.934367068112756,-5.668770909309387,8.229648186672444,2.757462043582826,2.171941474961937,2.6905738429116175,4.209282591834496
21,Serinus_syriacus,1.3244304527068553,-0.4850935786962509,8.419411896038122,-4.250312765439351,8.226012510594137,3.2122123194591894,2.209030186026493,2.7507916254051232,4.161702096892539
22,Sitta_whiteheadi,0.8317278016899818,-1.0407698353131611,8.788954590117514,-4.490212639172872,8.243833971218647,3.0507280528535268,2.154116209408112,2.91298449980489,4.130437214982124
23,Sturnus_roseus,0.8269205022061578,-0.8011990934610367,11.0735344570588,-3.758244276046753,8.294215929825535,3.328465965600328,2.431398566592667,2.6714460161799765,4.11032703135637
24,Sylvia_atricapilla,1.9302244313716845,-0.26563297808170316,7.880384913724768,-4.341111278533935,8.347920330893555,3.070796316780103,2.3508484832400773,2.50842982905661,4.082825440075897
25,Sylvia_conspicillata,0.966165871850226,-0.6778481602668762,10.798485923284133,-4.882665824890137,8.373193650530236,3.0615218212682755,2.1822722812351407,2.8558623263674727,4.106476415759936
26,Sylvia_melanocephala,1.0643540344759999,-0.6594641407330831,10.262796921323332,-6.4005208015441895,8.302638210900254,2.986763077740267,2.19429513629477,2.92181387215186,4.185307244028062
27,Turdoides_squamiceps,1.210735099222405,-0.3775400420029958,9.126199231295793,-4.32996400197347,8.153471443053805,3.1263160918799535,2.3473307916492985,2.6737313484780003,4.144608352997755
28,Anthus_berthelotii,1.2704007925210117,-0.5833710283041,8.76309048506449,-4.1164944767951965,8.45992975921353,3.243217122787396,2.2407928001824295,2.3797514090771696,4.100154556249709
29,Calcarius_lapponicus,1.9316054257445632,-0.38924128413200376,6.656302136289964,-3.133021116256714,8.527335496344431,2.686289188153124,2.16900718926912,2.7410462889543017,4.042482303157549
